id,story_level,parent,name,start_night_l1,end_night_l1,start_night_l2,end_night_l2,start_night_l3,end_night_l3,start_night_l4,end_night_l4,night_duration,start_page,end_page,page_duration,gender_dominance,gender_ratio
3,0,,King Shahriyar and Shahrazad,,,,,,,,,1001,7,,2509,,
4,1,3,The merchant and the jinni,1,3,,,,,,,3,10,19,9,,
5,2,4,The story of the first old man,,,1,2,,,,,2,12,15,2,,
6,2,4,The story of the second old man,,,2,2,,,,,1,15,18,2,,
7,2,4,The story of the third old man,,,2,3,,,,,2,18,19,1,,
8,1,3,The fisherman and the 'ifrit,3,9,,,,,,,7,19,50,31,,
9,2,8,The story of King Yunan and Duban the sage,,,4,5,,,,,2,25,34,9,,
10,3,9,The story of King Sindbad and the falcon,,,,,5,5,,,1,28,29,1,,
11,3,9,The story of the treacherous vizier,,,,,5,5,,,1,30,31,1,,
12,2,8,The story of the semi-petrified prince,,,7,8,,,,,2,41,48,7,,
13,1,3,The porter and the three ladies,9,19,,,,,,,11,50,123,73,male,0.470684931506849
14,2,13,The story of the first dervish,,,11,12,,,,,2,66,72,6,male,0.191780821917808
15,2,13,The story of the second dervish,,,12,14,,,,,3,72,90,18,male,0.451676528599606
16,3,15,The story of the envious and the envied,,,,,13,13,,,1,79,81,2,male,0.305970149253731
17,2,13,The story of the third dervish,,,14,16,,,,,3,90,105,15,male,0.217857142857143
18,2,13,The story of the lady of the house,,,17,18,,,,,2,106,113,7,female,0.657718120805369
19,2,13,The story of the doorkeeper,,,18,18,,,,,1,113,121,8,female,0.582568807339449
20,1,3,Harun al-Rashid and the fisherman's chest,19,24,,,,,,,6,123,173,50,,
21,2,20,The story of the young man and the three apples,,,19,24,,,,,6,126,127,1,,
22,2,20,The story of Nur al-Din and Shams al-Din,,,20,24,,,,,5,129,172,43,,
23,1,3,The hunchback,24,34,,,,,,,11,173,244,71,,
24,2,23,The Christian's story,,,25,26,,,,,2,178,189,11,,
25,2,23,The inspector's story,,,27,28,,,,,2,189,197,8,,
26,2,23,The Jewish doctor's story,,,28,29,,,,,2,197,205,8,,
27,2,23,The tailor's story,,,29,34,,,,,6,205,244,39,,
28,3,27,The story of the barber,,,,,31,34,,,4,217,241,24,,
29,4,28,The story of the barber's first brother,,,,,,,31,31,1,219,223,4,,
30,4,28,The story of the barber's second brother,,,,,,,31,32,2,223,226,3,,
31,4,28,The story of the barber's third brother,,,,,,,32,32,1,226,228,2,,
32,4,28,The story of the barber's fourth brother,,,,,,,32,32,1,228,231,3,,
33,4,28,The story of the barber's fifth brother,,,,,,,32,33,2,231,237,6,,
34,4,28,The story of the barber's sixth brother,,,,,,,33,33,1,237,241,4,,
35,1,3,Nur al-Din Ali and Anis al-Jalis,34,38,,,,,,,5,244,278,34,,
36,1,3,"Ghanim ibn Ayyub, the slave of love",38,45,,,,,,,8,278,304,26,,
37,2,36,The story of the eunuch Bukhait,,,39,39,,,,,1,282,283,1,,
38,2,36,The story of the eunuch Kafur,,,39,40,,,,,2,283,287,4,,
39,1,3,King 'Umar ibn al-Nu'man and his family,45,145,,,,,,,101,304,613,309,,
40,2,39,The story of Taj al-Muluk Kharan and Princess Dunya,,,107,137,,,,,31,475,558,83,,
41,3,40,The story of 'Aziz and 'Aziza,,,,,112,128,,,17,489,524,35,,
42,2,39,The story of the hashish addict,,,142,143,,,,,2,594,596,2,,
43,1,3,"The peahen, the duck and the gazelle ",146,147,,,,,,,2,613,621,8,,
44,1,3,The pious shepherd,147,148,,,,,,,2,621,624,3,,
45,1,3,The water fowl and the tortoise,148,148,,,,,,,1,624,627,3,,
46,1,3,The wolf and the fox,148,150,,,,,,,3,627,639,12,,
47,2,46,The story of the hawk and the partridge,,,149,149,,,,,1,632,632,0.5,,
48,2,46,The story of the man and the snake,,,150,150,,,,,1,638,638,0.5,,
49,1,3,The weasel and the mouse,150,150,,,,,,,1,639,640,1,,
50,1,3,The crow and the cat,150,150,,,,,,,1,640,641,1,,
51,1,3,The fox and the crow,150,152,,,,,,,3,641,645,4,,
52,2,51,The story of the flea and the mouse,,,150,151,,,,,2,642,645,3,,
53,2,51,The story of the falcon and the birds of prey,,,151,152,,,,,2,645,645,0.5,,
54,2,51,The story of the sparrow and the eagle,,,152,152,,,,,1,645,645,0.5,,
55,1,3,The hedgehog and the doves,152,152,,,,,,,1,645,648,3,,
56,2,55,The story of the merchant and the two thieves,,,152,152,,,,,1,647,648,1,,
57,1,3,The thief with the monkey,152,152,,,,,,,1,648,649,2,,
58,2,57,The story of the foolish weaver,,,152,152,,,,,1,648,649,1,,
59,1,3,The sparrow and the peacock,152,152,,,,,,,1,649,650,1,,
60,1,3,Ali ibn Bakkar and Shams al-Nahar,153,169,,,,,,,17,650,693,43,,
61,1,3,"The story of King Shahriman and his son, Qamar al-Zaman",170,249,,,,,,,80,693,832,139,,
62,2,61,The story of Ni'ma ibn al-Rabi' and Nu'm,,,237,246,,,,,10,808,820,12,,
63,1,3,'Ala' al-Din Abu'l-Shamat,249,270,,,,,,,22,832,884,52,,
64,1,3,Hatim of Tayy,270,271,,,,,,,2,884,886,2,,
65,1,3,Ma'n ibn Za'ida,271,272,,,,,,,2,886,888,2,,
